"eleicao","cargo","municipio","ibge_cod","tse_cod","turno","candidato","partido","votosnom","votosper","situacao"
1982,"VEREADOR","AMPARO","3501905","61379","1","HELIO ALCEU BRUNELLI","PMDB",436,2.25,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","LUIZ PEREIRA DE OLIVEIRA","PTB",397,2.05,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","WALTER LUIZ MARTINS","PDS",395,2.04,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","COSME DAMIAO GERALDINO","PDS",374,1.93,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","JOSE UBIRAJARA DA SILVA","PMDB",373,1.92,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","JOSE CARLOS TROLEZI","PMDB",373,1.92,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","JOAO ARTUR RIBEIRO DE CARVALHO","PMDB",370,1.91,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","JOSE ARMANDO MORO","PMDB",364,1.88,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","OBERDANK EXPEDITO BARBI","PDS",363,1.87,"ELEITO"
1982,"VEREADOR","AMPARO","3501905","61379","1","WALDYR AGENOR MARCHIORI","PDS",301,1.55,"ELEITO"
1982,"VEREADOR","ANALANDIA","3502002","61395","1","OSVALDO DE OLIVEIRA","PDS",102,8.64,"ELEITO"
1982,"VEREADOR","ANALANDIA","3502002","61395","1","GERSON CARLOS FRANCESCHINI","PDS",90,7.63,"ELEITO"
1982,"VEREADOR","ANALANDIA","3502002","61395","1","HELIO MARINO CALCHI","PDS",82,6.95,"ELEITO"
1982,"VEREADOR","ANALANDIA","3502002","61395","1","SANDRA LIA PISTARINI","PDS",77,6.53,"ELEITO"
1982,"VEREADOR","ANALANDIA","3502002","61395","1","OSCAR YAZBEK","PDS",61,5.17,"ELEITO"
