"JOSE RONDIVAL GUARIDO";"PMDB";"109";"8.8";"ALVINLANDIA";"1982"
"WALMIR MAGALHAES";"PTB";"44";"3.55";"ALVINLANDIA";"1982"
"ALVINO DIAS";"PDS";"544";"43.94";"ALVINLANDIA";"1982"
"ARNALDINO THEODORO DE LIMA";"PDS";"465";"37.56";"ALVINLANDIA";"1982"
"JOSE RONDIVAL GUARIDO";"PMDB";"109";"8.8";"ALVINLANDIA";"1982"
"WALMIR MAGALHAES";"PTB";"44";"3.55";"ALVINLANDIA";"1982"
"ABDUL HADDI OMAR NAJJAR";"PDS";"17478";"26.24";"AMERICANA";"1982"
"CARROL MENEGHEL";"PMDB";"11622";"17.45";"AMERICANA";"1982"
"FREDERICO POLO MULLER";"PMDB";"9295";"13.96";"AMERICANA";"1982"
"MARCO ANTONIO BIASI";"PMDB";"7589";"11.39";"AMERICANA";"1982"
"RAUL LEME BRISOLLA JUNIOR";"PT";"4875";"7.32";"AMERICANA";"1982"
"WILSON CAMARGO";"PT";"1764";"2.65";"AMERICANA";"1982"
"JAVERT GALASSI";"PT";"1598";"2.4";"AMERICANA";"1982"
"JOAO BATISTA BARBOSA";"PTB";"1589";"2.39";"AMERICANA";"1982"
"LUIZ EUCLIDES ROVINA";"PDS";"1026";"1.54";"AMERICANA";"1982"
"JAIRO DE AZEVEDO";"PTB";"1005";"1.51";"AMERICANA";"1982"
"GERALDO PINHANELLI";"PDS";"746";"1.12";"AMERICANA";"1982"
"ROBERTO DOLLO";"PDS";"731";"1.1";"AMERICANA";"1982"
"RUBENS ZAORAL";"PDT";"274";"0.41";"AMERICANA";"1982"
"ABDUL HADDI OMAR NAJJAR";"PDS";"17478";"26.24";"AMERICANA";"1982"
"CARROL MENEGHEL";"PMDB";"11622";"17.45";"AMERICANA";"1982"
"FREDERICO POLO MULLER";"PMDB";"9295";"13.96";"AMERICANA";"1982"
"MARCO ANTONIO BIASI";"PMDB";"7589";"11.39";"AMERICANA";"1982"
"RAUL LEME BRISOLLA JUNIOR";"PT";"4875";"7.32";"AMERICANA";"1982"
"WILSON CAMARGO";"PT";"1764";"2.65";"AMERICANA";"1982"
"JAVERT GALASSI";"PT";"1598";"2.4";"AMERICANA";"1982"
"JOAO BATISTA BARBOSA";"PTB";"1589";"2.39";"AMERICANA";"1982"
"LUIZ EUCLIDES ROVINA";"PDS";"1026";"1.54";"AMERICANA";"1982"
"JAIRO DE AZEVEDO";"PTB";"1005";"1.51";"AMERICANA";"1982"
"GERALDO PINHANELLI";"PDS";"746";"1.12";"AMERICANA";"1982"
"ROBERTO DOLLO";"PDS";"731";"1.1";"AMERICANA";"1982"
"RUBENS ZAORAL";"PDT";"274";"0.41";"AMERICANA";"1982"
"OCTAVIO DOTOLI";"PDS";"2630";"45.78";"AMERICO BRASILIENSE";"1982"
"TERCIO DELLA ROVERE";"PMDB";"2452";"42.68";"AMERICO BRASILIENSE";"1982"
"OCTAVIO DOTOLI";"PDS";"2630";"45.78";"AMERICO BRASILIENSE";"1982"
"TERCIO DELLA ROVERE";"PMDB";"2452";"42.68";"AMERICO BRASILIENSE";"1982"
"ESTEVAO ELIAS DAVID";"PMDB";"1804";"47.94";"AMERICO DE CAMPOS";"1982"
"MOACIR BRAGA";"PDS";"935";"24.85";"AMERICO DE CAMPOS";"1982"
"JOAO VENCESLAU DOS SANTOS";"PDS";"515";"13.69";"AMERICO DE CAMPOS";"1982"
"DAVID FERNANDES DA SILVA";"PMDB";"177";"4.7";"AMERICO DE CAMPOS";"1982"
"DEJAIR SECATO";"PDS";"147";"3.91";"AMERICO DE CAMPOS";"1982"
"ESTEVAO ELIAS DAVID";"PMDB";"1804";"47.94";"AMERICO DE CAMPOS";"1982"
"MOACIR BRAGA";"PDS";"935";"24.85";"AMERICO DE CAMPOS";"1982"
"JOAO VENCESLAU DOS SANTOS";"PDS";"515";"13.69";"AMERICO DE CAMPOS";"1982"
"DAVID FERNANDES DA SILVA";"PMDB";"177";"4.7";"AMERICO DE CAMPOS";"1982"
"DEJAIR SECATO";"PDS";"147";"3.91";"AMERICO DE CAMPOS";"1982"
"CARLOS PIFFER";"PDS";"7117";"36.72";"AMPARO";"1982"
"JOSE CARLOS DE OLIVEIRA";"PMDB";"6334";"32.68";"AMPARO";"1982"
"LAZARO JOSE DOMINGUES";"PTB";"2009";"10.37";"AMPARO";"1982"
"JOSE ANTONIO ROSSI";"PMDB";"1586";"8.18";"AMPARO";"1982"
